GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - White alone,Margin of Error; Total: - White alone,Estimate; Total: - Black or African American alone,Margin of Error; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Margin of Error; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Margin of Error; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Margin of Error; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone,Margin of Error; Total: - Some other race alone,Estimate; Total: - Two or more races:,Margin of Error; Total: - Two or more races:,Estimate; Total: - Two or more races: - Two races including Some other race,Margin of Error; Total: - Two or more races: - Two races including Some other race,"Estimate; Total: - Two or more races: - Two races excluding Some other race, and three or more races","Margin of Error; Total: - Two or more races: - Two races excluding Some other race, and three or more races"
1400000US36061022102,36061022102,"Census Tract 221.02, New York County, New York",2392,251,560,213,1458,240,0,11,128,121,0,11,104,109,142,91,19,32,123,84
1400000US36061022200,36061022200,"Census Tract 222, New York County, New York",3069,384,828,236,1776,336,34,47,75,44,0,11,290,157,66,40,24,30,42,27
1400000US36061022301,36061022301,"Census Tract 223.01, New York County, New York",7954,740,2012,587,1054,385,26,44,383,286,0,16,2899,746,1580,607,0,16,1580,607
1400000US36061022302,36061022302,"Census Tract 223.02, New York County, New York",3426,305,968,269,1139,241,19,30,114,64,0,11,842,332,344,145,10,18,334,145
1400000US36061022400,36061022400,"Census Tract 224, New York County, New York",7344,811,610,247,4901,896,25,28,112,116,36,55,1398,565,262,124,97,90,165,123
1400000US36061022500,36061022500,"Census Tract 225, New York County, New York",10641,948,3366,872,3593,641,34,39,140,135,0,18,1907,634,1601,784,131,165,1470,781
1400000US36061022600,36061022600,"Census Tract 226, New York County, New York",4053,449,574,200,2843,419,27,30,66,89,0,11,428,216,115,86,24,28,91,81
1400000US36061022700,36061022700,"Census Tract 227, New York County, New York",5532,618,1258,387,2884,423,0,16,146,112,0,16,500,569,744,389,82,89,662,380
1400000US36061022800,36061022800,"Census Tract 228, New York County, New York",5714,576,649,236,3947,621,52,61,132,137,0,16,448,184,486,223,16,26,470,218
1400000US36061022900,36061022900,"Census Tract 229, New York County, New York",8340,745,2220,554,3189,622,0,16,145,77,16,32,1160,505,1610,539,44,47,1566,537
1400000US36061023000,36061023000,"Census Tract 230, New York County, New York",9124,1039,1239,477,6375,971,0,16,73,95,0,16,563,294,874,512,30,34,844,509
